Provincias;Edad (grupos quinquenales);Sexo;Españoles/Extranjeros;Año;Total
01  Araba/Álava;35-39 años;Mujeres;TOTAL;2020;11.640
01  Araba/Álava;40-44 años;Hombres;TOTAL;2020;14.649
01  Araba/Álava;40-44 años;Mujeres;TOTAL;2020;13.830
01  Araba/Álava;45-49 años;Hombres;TOTAL;2020;14.080
01  Araba/Álava;45-49 años;Mujeres;TOTAL;2020;13.403
01  Araba/Álava;50-54 años;Hombres;TOTAL;2020;13.119
01  Araba/Álava;50-54 años;Mujeres;TOTAL;2020;12.867
01  Araba/Álava;55-59 años;Hombres;TOTAL;2020;11.808
01  Araba/Álava;55-59 años;Mujeres;TOTAL;2020;12.459
01  Araba/Álava;60-64 años;Hombres;TOTAL;2020;10.382
01  Araba/Álava;60-64 años;Mujeres;TOTAL;2020;11.195
01  Araba/Álava;65-69 años;Hombres;TOTAL;2020;8.917
01  Araba/Álava;65-69 años;Mujeres;TOTAL;2020;9.684
01  Araba/Álava;70-74 años;Hombres;TOTAL;2020;8.236
01  Araba/Álava;70-74 años;Mujeres;TOTAL;2020;9.145
01  Araba/Álava;75-79 años;Hombres;TOTAL;2020;6.197
01  Araba/Álava;75-79 años;Mujeres;TOTAL;2020;7.096
01  Araba/Álava;80-84 años;Hombres;TOTAL;2020;4.035
01  Araba/Álava;80-84 años;Mujeres;TOTAL;2020;5.409
01  Araba/Álava;85-89 años;Hombres;TOTAL;2020;2.812
01  Araba/Álava;85-89 años;Mujeres;TOTAL;2020;4.643
01  Araba/Álava;90-94 años;Hombres;TOTAL;2020;983
01  Araba/Álava;90-94 años;Mujeres;TOTAL;2020;2.340
01  Araba/Álava;95-99 años;Hombres;TOTAL;2020;173
01  Araba/Álava;95-99 años;Mujeres;TOTAL;2020;679
01  Araba/Álava;100 años y más;Hombres;TOTAL;2020;16
01  Araba/Álava;100 años y más;Mujeres;TOTAL;2020;111
33  Asturias;0-4 años;Hombres;TOTAL;2020;15.568
33  Asturias;0-4 años;Mujeres;TOTAL;2020;14.674
33  Asturias;5-9 años;Hombres;TOTAL;2020;19.334
33  Asturias;5-9 años;Mujeres;TOTAL;2020;18.254
33  Asturias;10-14 años;Hombres;TOTAL;2020;21.379
33  Asturias;10-14 años;Mujeres;TOTAL;2020;20.334
33  Asturias;15-19 años;Hombres;TOTAL;2020;20.289
33  Asturias;15-19 años;Mujeres;TOTAL;2020;19.025
33  Asturias;20-24 años;Hombres;TOTAL;2020;19.727
33  Asturias;20-24 años;Mujeres;TOTAL;2020;18.733
33  Asturias;25-29 años;Hombres;TOTAL;2020;20.603
33  Asturias;25-29 años;Mujeres;TOTAL;2020;20.048
33  Asturias;30-34 años;Hombres;TOTAL;2020;24.894
